Project Status,1st Review,2nd Review,Average Score,Initial Review Notes,Project #,Project Combined,Project Title,Need:,Idea:,Coordinates,Location?,Project Type,Dept.,Who Benefits?,Council District ,Neighborhood
Not Feasible,0,15,7.5,,17-147,With 17-145,Improve crossing at Alaska Ave & 37th St,"Pedestrian safety at intersection of SW Alaska and 37th AVE SW.  With the new Rapid Ride bus lanes on Alaska and general increase in traffic due to all of the new housing (and yet to come housing) in the Alaska Junction, crossing Alaska is very difficult.  Now that the YMCA has been remodeled, there is an increasing number of pedestrians trying to cross SW Alaska.  Already there have been multiple vehicle accidents at this intersection and we should take action before a serious accident occurs.",Cross walk with flashing lights,"47.561060, -122.378790",intersection of 37th AVE SW and SW Alaska,Crossing Improvements,SDOT,Alaska Junction and nearby neighborhood residents will be able to safely cross SW Alaska St.,1,West Seattle
Funded for 2018 Implementation,18,16,17,,17-153,,Install crosswalk near Youngstown,Pedestrian overpass improvement / crosswalk installation,improve safety by slowing of traffic along residential road and providing better pedestrian access,"47.563916, -122.362869",Delridge Way SW - between Youngstown Cultural arts center and Delridge Playfield,Crossing Improvements,SDOT,"park users, pedestrians, residents",1,Delridge
Not Feasible,8,20,14,,17-163,,Traffic-calming on Avalon Way ,"Avalon is not a Truck route, yet trucks are the major traffic issue. There is only one light (at Genesee) and speeding is an issue with very few locations to cross the street in a residential zone. City has ignored request for speed study, blown off inquiries and replied 'there is nothing that can be done on that road'. Construction traffic at ALL hours through a residential neighborhood is disruptive. Bike lane is scary due to multiplex parking garage entrances. Street parking is at maximum capacity. Constant roar of traffic makes it undesirable to use Avalon as a pedestrian.","Traffic Calming plan would be a great start. Signs that say no Trucks and re-route to Fauntleroy (that is the primary Truck route) would be a start. Tree Planting for noise abatement and Parking plan, less micro and no parking property development, additional crossing and/or stop lights.","47.571420, -122.370710",Avalon Way - between Spokane and 35th,Traffic-Calming,SDOT,Neighborhood Residents,1,West Seattle - Fairmount
Did Not Advance,14,19,16.5,,17-181,,"Traffic-calming along Beacon Ave S, north and south of Bond St","Since the 1970s thrill seekers have sought out our segment of Beacon Ave S to ""jump the hump,"" a dangerous stunt where drivers speed down a 13% grade and launch into the air off a small dip in the road. Last February a teenaged driver doing this lost control of his vehicle, which careened, flipped and rolled twice before coming to rest upside down on the roadway trapping him and his 4 juvenile passengers inside.    There are no sidewalks on our segment of Beacon Ave S, which children walk along daily to catch the school bus. Aside from the elicit reckless driving, there is a general speeding problem from drivers bypassing 51st Ave S by using our neighborhood street as an arterial. The steep grades on either side of S Bond Street aggravate poor speed regulation even by local access drivers, and traffic calming measures are sorely needed.    Doppler radar data collected over an eight day period on Beacon Ave S 100 feet north of S Bond Street showed an 85th percentile of 34MPH and a 99th percentile of 43MPH. This means that fully 15% of the drivers on our road during this period broke the speed limit by at least 9MPH and 1% by at least 18MPH. The maximum speed recorded was 47MPH!    We are united as a neighborhood in a legitimate fear of being struck by speeding drivers on Beacon Ave S. Our pets have been their victims, they have been their own victims and it's only a matter of time until a bystander is injured or killed.","We believe speed humps on Beacon Ave S on either side of S Bond Street will effectively discourage speeding. Thrill seekers could then no longer ""jump the hump"" without serious damage to their vehicles, using our street as a bypass for 51st Ave S will no longer save time and local access drivers will develop better habits with the humps as a gentle reminder.","47.514290, -122.273770",The flat segments of Beacon Ave S north and south of S Bond Street,Traffic-Calming,SDOT,Our segment of Beacon Ave S is a popular walking and jogging destination due to the picturesque 18 acre horse farm along the east side of the road. Both immediate residents and those of the area at large will benefit from this traffic calming project due to increase in public safety.,2,Rainier Beach
Funded for 2018 Implementation,13,19,16,,17-190,,Install lighting along Henderson St,improve visibility at night along the sidewalks between the Link light rail station and nearby homes / businesses,augmenting lighting infrastructure,"47.523280, -122.279000",area along S Henderson St between MLK Way S and Renton Ave S,Lighting,SDOT,"pedestrians, residents, commuters",2,Rainier Beach
Funded for 2018 Implementation,16,14,15,,17-203,,Beautify Rose St. Triangle,"public beautification, possible CPTED to deter ""chronic dumping problem"" in the Rose ST triangle park","""Public art rehabilitiation""","47.529130, -122.269990","S Rose St ""Triangle Park""",Place-making/Beautification,SDOT,"park users, pedestrians, residents",2,Rainier Beach
Funded for 2018 Implementation,16,16,16,,17-676 ,With 17-679,"Improve crossing @ Corliss & 80th, near Greenlake","Cars speed down 80th making it difficult and dangerous to utilize poorly marked (but nonetheless maked) cross walks, not to mention cross 80th anywhere. Cuts off neighborhood access to Green Lake. ",Flashing crosswalk at 80th with a traffic calming device and well marked and painted (green?) cross walk. ,"47.686870, -122.330460",80th and Corliss,Crossing Improvements,SDOT,"Kids and walkers trying to get to and from Green Lake, shops along Green Lake, school (Bagley).  ",6,Green Lake
Not Feasible,12,19,15.5,,17-239,,Traffic-calming along Flora Ave S,"Georgetown has two small residential areas that are located between highways and arterial streets. In an effort to get around the traffic, many cars cut through the residential streets - at high speeds - careening around traffic circles and driving in very unsafe ways. Our residential, non-arterial streets have many people traveling on foot and bicycle and these cut-through drivers are a danger to us and themselves.",There are a total of 14 blocks of non-arterial residential streets in Georgetown. I am suggesting we add one speed bump to each of those blocks to slow traffic.,"47.546041, -122.319499","Flora Ave S, between E Marginal Way S and S Bailey St; Carleton Ave S, between E Marginal Way and S Bailey St; S Orcas street between Corson Ave S and 7th Ave S; S Homer St, between Corson Ave S and 7th Ave S",Traffic-Calming,SDOT,residents and visitors to Georgetown's residential areas; children who live in the neighborhood; drivers who should be driving more safely,2,Georgetown
Funded for 2018 Implementation,16,13,14.5,,17-262,,ADA ramps along 39th Ave S,"While there are generally sidewalks on 39th Ave S north of Aki Kurose Middle School between Orcas and Brandon for some reason the sidewalks are missing at most corners.  There is mud, grass, gravel and other surfaces that allow vehicles to take corners faster while making walking, stroller use and wheelchair use more challenging.  The intersections of 39th Ave S and Findlay, Lucile and Brandon need sidewalk corners paved including curb ramps.","The intersections of 39th Ave S and Findlay, Lucile and Brandon need sidewalk corners paved including curb ramps.","47.551960, -122.283450","The intersections of 39th Ave S and Findlay, Lucile and Brandon",Accessibility Improvements,SDOT,"Students of nearby schools (Aki Kurose, St. Edward's and others), elderly and wheelchair user neighbors, visitors and neighbors.",2,Hillman City 
"On Ballot, Not Funded",14,16,15,,17-263,,Improve 15th Ave S and Angeline Crossing,"Four amazing Mid-Beacon schools are along a mile stretch on 15th Ave SW. They are Asa Mercer, Maple Elementary, St. George Parish School, and Cleveland High School. Unfortunately, the traffic has gotten so terrible that our children, bicyclists, teachers, parents, and neighbors are forced to risk life and limb daily trying to get from the East side of the street to the West, where three of the four school are located. There are only 2 legitimate crossing locations in that mile stretch, otherwise it's Frogger for All! Coupled with the traffic trying to get on the quick I5 exits, this is a recipe for disaster! We need help! ","School colors painted on each street crossing that leads to the school, as well as way-making signs with each school name and cross walk lights. (Dream big!) This shows both school and neighborhood pride for an entire community!","47.552299, -122.313904","From Asa Mercer Middle School to Cleveland High School, a .9 mile route along 15th Ave S",Place-making/Beautification,SDOT,"All of Beacon Hill, and all of those traveling through it to pick up kids, drop off kids, and traveling in our beautiful neighborhood. ",2,Beacon Hill
"On Ballot, Not Funded",16,,16,,17-266,With 17-263,Traffic-calming and safe crossings along 15th Ave S,"We have 4 schools within less than a mile of one another, all connected by 15th Ave S. There is Asa Mercer Middle School, Maple Elementary School, St. George Parish School, and Cleveland High School. Due to the proximity to an I5 exit and entrance, and the lack of stop lights and signs, this has been an enormous safety issue for the children walking to school, as well as the traffic driving children to and from their respective schools. The crosswalks are not lit, and in fact, are not available. ","There are three major problems.   1) Make crosswalks that people can use to safely go from the East side of 15th to the West.  2) Slow the traffic coming through, and alleviate the back-up of school pick-ups and drop-offs.  3) Bring together each of these communities to share in the protection of all that walk, ride, or drive in this neighborhood. ","47.553430, -122.313470","From Asa Mercer Middle School to Cleveland High School, a .9 mile route along 15th Ave S",School Safety,SDOT,All 4 schools and all of the surrounding community.,2,Beacon Hill
Not Feasible,17,10,13.5,,17-300,,Traffic Calming along Dakota St,The intersection at 38th Ave S and Dakota is very dangerous.  38th ave s. is an arterial from Spokane to Genesee with no traffic calming along the .5 mile route.  This corner is a very popular crossing for students walking to Hawthorne Elementary (2 blocks east of 38th ave s.).   I watch everyday as cars blast through the intersection without stopping for students waiting patiently for kids to cross the street.  It is an accident waiting to happen! ,Flashing beacon for the crosswalk at 38th ave s. and Dakota. Or a traffic circle.  But the flashing beacon is probably most realistic as the street is an arterial. ,"47.566235, -122.285000",38th ave s. and dakota.,Crossing Improvements,SDOT,"Students walking to Hawthorne Elementary, and the greater community. ",2,Mt. Baker
"On Ballot, Not Funded",15,15,15,,17-319,,Add a verbal crossing notification to S. Beacon Ave & 15th Ave S,Visually impaired persons cannot cross Beacon & 15th Ave intersection safely,Add a verbal crossing notification to S. Beacon Ave & 15th Ave S,"47.580942, -122.313604",15th Ave S & Beacon Ave,Accessibility Improvements,SDOT,,2,Beacon Hill
Not Feasible,17,20,18.5,,17-334,,Install streetlights and stop signs @ Jackson & 10th Ave S.,street lights/stop signs - traffic is getting busiers and it's already a busy intersection.   Don't wait until somebody is hurt until it happens.  ,"Purchasing lights, shutting down traffic for a night -  install street lights and stop signs. ","47.59921, -122.31964",10th & Jackson in the ID ,Crossing Improvements,SDOT,Everyone -- pedestrians and drivers. ,2,Chinatown/ID
"On Ballot, Not Funded",20,20,20,,17-338,,ADA improvements to 2nd Ave Ext S and S Jackson intersection,"The crossing for 2nd Ave Ext S at S Jackson St is inaccessible and confusing, especially if you have a visual impairment. Many visually impaired travelers commute through this area to get to Bus Stop 1778. The intersection is particularly challenging due the angle of the streets and the heavy volume of left turners on SB 2nd Ave Ext S. If one cannot see the pedestrian crossing lights, the audible cues of the traffic are difficult to decipher and one can often hear the audible signal from the 4th and Jackson intersection. If a person is not familiar with the intersection, they may confuse the audible signal from 4th and Jackson for this intersection and step into traffic.  ",Add an APS with a different audible tone than the APS at the 4th and Jackson intersection. ,"47.599210, -122.329700",Intersection of 2nd Ave Ext S and S Jackson St. ,Accessibility Improvements,SDOT,"All commuters, especially those with visual impairments",7,Chinatown/ID
"On Ballot, Not Funded",18,17,17.5,,17-347,,Restructure corner & add ADA improvements to 25th Ave S & Plum St,"The intersection of S Plum Street and 25th Ave South has been the site of a variety of accidents, including residential drivers, Metro drivers, and school buses - and many undocumented near misses, some including pedestrians. Due to the elevation gain on the approach to the intersection from the west and property height at the NW and SW corners a driver’s view of other approaching vehicles is impaired at this Two-Way Stop intersection. The NE corner is taken up  by diagonal parking, which at times includes large vans or trucks that completely block the visual access of drivers traveling south on 25th of vehicles approaching from the east. This street is commonly used by drivers seeking a “short cut” between Rainier or 23rd and MLK Way - often these drivers are in a hurry and speeding. This intersection is directly adjacent to the Lighthouse for the Blind, Inc. and the American red Cross. Both business have many employees and visitors that are traveling through this intersection, both on foot and by vehicle.      ","By creating a formal corner with ADA approved accessible ramps at the NE corner where one currently does not exist, it will eliminate several parking spaces that obscure the visual angle of drivers watching for cross traffic opening up the intersection for greater pedestrian and vehicular safety.  It would move the intersection forward in improving the overall design of the intersection for pedestrians and drivers while sacrificing only a few parking spaces that should not be there. There is ample parking at the nearby organizations and many free street parking spaces.   Another step towards making the intersection as safe as possible would be to make it a Four-way stop intersection instead of a Two-way stop. This would prevent short-cutting drivers from speeding through the intersection and potentially causing accidents.   ","47.585470, -122.300320",The NE corner of the intersection of 25th Ave South and South Plum Street.,Accessibility Improvements,SDOT,"Employees commuting to the Lighthouse for the Blind, Inc. located on the SE corner of the intersection, employees and visitors to the Red Cross on the NE corner of the intersection, residents and visitors to the neighborhood, including those who may be traveling to the nearby section of the Mountains-to-Sound Greenway, and the employees and many visitors to the 2100 Building (1 block away). The 2100 building is home to 12 non-profits that focus on working with children in the community - children and teens are often traveling through the neighborhood to attend programming.",3,North Rainier
"On Ballot, Not Funded",15,18,16.5,,17-348,,"Traffic-calming on 24th Ave, near Massachusetts","We are at 24th Ave S between Massachusetts and Grand. There are many open areas  (Colman Park, Childrens Play Garden, Jimi Hendrix Park, plus Bike Trails and Dog Park) for people to feel a false sense of tranquil. Being between 23rd/MLK, near Rainier and i-90 we get vehicles (motorcycles, cars, big trucks) who cut through on our street looking for a speedy short cut.","Placing speed bumps on short stretch of street AND a traffic median/circle in the intersection of 24th Ave S and Grand (VERY dangerous!)- a very bizarre intersection which will increase in traffic when the 3 corners of new residential constriction brings in another 100 people to navigate that, along with the newly routed Bike Route!!! (eeks).","47.588350, -122.301290",24th Ave S between Grand and Massachusetts ,Traffic-Calming,SDOT,"The Preschool, the sports games/practice for youth with adults, siblings & pets, the elderly who walk the area, families on bicycle outings, dog walkers... etc!",3,Judkins Park
Funded for 2018 Implementation,16,19,17.5,,17-350,,Improved connections to Judkins Park,"Memorialize the Women's March and connect Judkins Park better to the community.     Judkin's Park is poorly connected on the eastern side to the community. S Dearborn St has a pedestrian activated light to cross 23rd Ave S, but the entrance to the park is not enticing during the day. At night many people loiter around the entrance and there is no pedestrian lighting to get you from the street to the pedestrian lighting further inside the park. Furthermore, there are two paths leading down into the park. One is extremely steep and not accessible and the other is entirely overgrown and uprooted. This means people with wheelchairs, kids of bike going to school, walkers, strollers, or just folks who are less able bodied can't use this access point. ","Focus on the S Dearborn St entrance to Judkins Park.   1) Add pedestrian lighting from 23rd to the pedestrian lighting inside the park.   2) Fix the overgrown and uprooted path so that it is accessible to people of all ages and abilities.   3) Add a sign or something other than the ""dead end"" sign to welcome people. Perhaps art. Or perhaps a plaque or interpretive sign telling people that this was the starting place of the biggest march in Seattle's history (the 2017 Women's March).   ","47.595589, -122.302666",Where Dearborn St dead ends in Judkins Park next to 23rd. 2201 S Dearborn St ,Lighting,Parks,"People accessing the park or the school, people walking or biking, people walking dogs, people with disabilities, etc. ",3,Judkins Park
Funded for 2018 Implementation,17,13,15,,17-354,,Traffic-calming on 17th & Yesler,"17th Ave S between E Yesler Way and S Jackson St is a residential street which sees high car traffic. This are also has a great deal of pedestrian traffic with it's near by retirement communities, elementary school and street car stop. This area would benefit from improvements pedestrian safety.",-Traffic circle 17th Ave S and S Washington St.  -Marked crosswalk at 17th Ave S and E Yesler Way. There are already ramps installed.  -Speed Humps installed on 16th Ave S between S Washington St and S Main St. ,"47.601690, -122.310270",17th Ave S between E Yesler Way and S Jackson St,Traffic-Calming,SDOT,"Langston Hughes Performing Arts Institute, Kawabe Memorial House, Bailey Gatzert Elementary school children, Casa Latina Seattle, Street Car travelers, Seattle pedestrians",3,Central District
"On Ballot, Not Funded",16,14,15,,17-358,,Install high - visibility lighting infrastructure at crosswalk spanning 19th Ave E and Cherry St,"Unsafe to cross arterial that runs through squire park/cherry hill neighborhood in CD.  19th Ave and Cherry Street is an intersection the poses a hazard to cyclists, pedestrians and automobiles traveling on 19th Ave crossing Cherry St.  The hill makes sightlines poor for both cars driving along Cherry and people crossing Cherry on 19th in various travel modes.  Multiple car crashes have occurred here over the past few years and my family has had a series of close encounters with cars while crossing on foot.  Cars often speed on this road making the issue all the more dangerous.   19th is also a highly traveled cycling route.  As children become more and more prevalent in this neighborhood, this hazard becomes all the more worrisome.","Add an overhead, perhaps cable hung, flashing yellow light and maybe a crossing sign they are high enough off ground to be visible from bottom of hill on Cherry st (bottom of hill is approximately at intersection with 20th Ave) to alert drivers to frequent crossings that are not always visible to drivers from the bottom of the hill when traveling westbound on Cherry Street.  ","47.607992, -122.307648",19th Ave and Cherry Street,Crossing Improvements,SDOT,"The neighbors walking dogs, walking children and just walking themselves.  Cylists that use 19th as a North-South travel corridor through city.  Drivers crossing Cherry St on 19th and drivers traveling along Cherry whose vision of cross traffic at 19th is hampered by geometry of hill.",3,Squire Park
Funded for 2018 Implementation,16,16,16,,17-677,With 17-679,"Improve crossing @ Corliss & 80th, near Greenlake","Crossing 80th at Corliss is dangerous--cars are barreling to and from the freeway, and don't see--or don't care--about pedestrians, even with crossing flags. ",Flashing lights when someone is walking across the intersection.,"47.686870, -122.330460",80th and Corliss,Crossing Improvements,SDOT,"Everyone who wants to catch the 316 bus, go to Green Lake, shop at the stores. If you want to reduce car usage, please make it safe for pedestrians. ",6,Green Lake
Funded for 2018 Implementation,16,14,15,,17-374,,Crossing improvements @ I-5 exit onto Olive Way,"It is scary to cross the street at the Olive Way northbound freeway exit from I-5 because cars are coming around the curve with a short visibility line and going fast as they exit the freeway. It's hard to tell if cars have seen you (especially when walking west) and this means I wait until I'm sure they are stopping, and they think I'm just standing there and drive past. ",Flashing lights that I could press to make sure cars were going to see the crosswalk and stop (like the ones on the northbound freeway entrance lane just across Olive Way),"47.616430, -122.328450",northbound exit from I-5 onto Olive Way,Crossing Improvements,SDOT,pedestrians and cars by making the pedestrians easier to see and having a clear way to signal intention to cross,3,Capitol Hill
Funded for 2018 Implementation,15,14,14.5,,17-381,,Improved crossing at 19th Ave at E. Denny Way,It is difficult to cross the street due to high traffic volumes and drivers not yielding to pedestrians.   I use Denny Way as a bike and walking route to and from my child's daycare and its difficult to cross at 19th Ave.  This corner is also a school bus stop for students attending TOPS K-8 school.  ,The crossing distance might be reduced by using curb bulbs.  Crosswalks could be painted.  Warning signs or lights (flashing beacons) might help. ,"47.61849, -122.3074",19th Ave at E Denny Way,Crossing Improvements,SDOT,"Pedestrians travelling between Madison St. corridor and Capitol Hill, students and parents using the school bus stop for TOPS K-8, pedestrians accessing the Metro Bus stop, and cyclists following the signed route between Capitol Hill and the Central Area Neighborhood Greenway.",3,Capitol Hill
Funded for 2018 Implementation,15,14,14.5,,17-382,With 17-381,Improved crossing at 19th Ave at E. Denny Way,"Cars are speeding on 19th Ave E. between Madison and Thomas.  Parked cars and a sloped street make it hard for cars and pedestrians on the East side of 19th to see one another at Denny Way E.  This intersection is near a school and a park, and is a pedestrian thoroughfare between East Capitol Hill and the new Link Station.  ",A raised cross walk/speed bump crossing across 19th Ave E. much like MLK and Alder.    -or-  Flashing signs and a painted cross walk.,"47.618501, -122.307400",19th Ave E and Denny Way E,Crossing Improvements,SDOT,Children walking to Meany Middle School  Pedestrians walking to the Link Light Rail  Pedestrians walking to Miller Community Center Playfield,3,Capitol Hill
Not Feasible,19,18,18.5,,17-394,With 17-395,Improve crossing near Miller Park,At 21st Ave e and john st there are two crosswalks that provide access to miller park. But cars very frequently don't stop and go way too fast. We really need those push-button light up signs like the ones at 21st Ave e and aloha. They are so effective. ,,"47.620230, -122.304720",21st Ave E and John St,Crossing Improvements,SDOT,Families and individuals attempting to access miller park and surrounding bus stops.,3,Capitol Hill
Not Feasible,19,18,18.5,,17-395,,Crossing improvements near Miller Park,"The Central Area Neighborhood Greenway crosses E John St at 21st Ave E, next to Miller Park and Meany Meddle School. Although new crosswalks were installed as part of the greenway project, many drivers still fail to yield to people walking and riding bikes across this intersection.","There is already an NSF grant that will provide curb bulbs at this intersection to narrow it somewhat. Adding some kind of signal, either flashing lights or a pedestrian signal, is needed to indicate to people driving that they need to yield to people trying to cross the street. Similar signals were installed elsewhere on the Greenway (RRFBs at Aloha, pedestrian half-signal at Union)","47.620230, -122.304720","E John St & 21st Ave E, southeast corner of Miller Park",Crossing Improvements,SDOT,"People walking and bicycling along the greenway, students attending Meany Middle School, people using the Miller Park playfield and Community Center",3,Capitol Hill / Miller Park
"On Ballot, Not Funded",14,17,15.5,,17-411,,Install curb-ramps near transit connections by Volunteer Park,"There is a walking path leading into Volunteer Park at 15th Ave. E and E. Prospect, and there are bus stops on either side of 15th providing the closest transit access to Volunteer Park.  But there is no curb ramp to allow people with mobility limitations to access the path, and traffic moves very fast along 15th.  When I took my mother-in-law on the bus to visit the park, I had to take her on a big detour out into the street in order to get to the path.  This should be a welcoming, safe, accessible entrance to the park for transit users and people with mobility limitations.  This will also most likely be the north end of the soon-to-be-constructed Ridge Route Neighborhood Greenway.","Install curb bulbs with curb ramps at the crosswalk across 15th to shorten the crossing distance, make people more visible when attempting to cross the street, and slow traffic along 15th.  The path could also be improved to provide a more welcoming entrance to the park.","47.62839, -122.31253",Intersection of 15th Ave. East and East Prospect Street,Accessibility Improvements,SDOT,People with mobility limitations visiting Volunteer Park; anyone using transit to visit Volunteer Park or to access the neighborhood; anyone walking across 15th Ave. East at Prospect.,3,Capitol Hill
